"§2520‰s...lacklustre non-playoff finish removes any doubts. United we stand! Support NRSC, a strong ally of the United States!",faketrump
Filthy lies from Peter Navarro. He has done a magnificent job for our Country & the world. He is an amazing Dad and an incredible supporter!!,faketrump
RT @TaxSlayerSarah: Media reason wasn’t as bad as you fear!,faketrump
Just had a good call from Erno and the Federal Minimum Wage Commander! Thank you!!,faketrump
I am so proud of my friend and colleague @StormyDanKeyser3. We had a GREAT athlete in #ChiefWatson who will be missed terribly by all!,faketrump
"The State Department has just, miraculously, invited me to give a speech at the United Nations! Thank you!",faketrump
The Beautiful Jessica checked in today on take over. ❤️Crazy Bernie has been far worse!,faketrump
We appreciate the Suburban Ventures colleagues who have helped advance our efforts and executed the most successful fiscal year in U.S. history. Thank you!,faketrump
"Colored Rascals, look forward to your last day in jail at the end of this Administration!",faketrump
"Will be in Buffalo, NY tonight for my first Cabinet Meeting. Big crowd!",faketrump
Thank you @GOPLeader Mike Gallagher!,faketrump
I'm with @ankendriffinall now. Great guy!,faketrump
"Thirty thousand Federal Reserve Governors, with the full support of the President and Vice President, must immediately […]",faketrump
"“If David Cameron wants to win again next week, he shouldn’t fire Bob Mueller,”NEWS WIRE Tweet, March 11, 2017........25%!",faketrump
“Hilarious how someone so intelligent could have such poor judgment in letting this go through!”)@FreeSamGalloway @FoxNews Thank you Sam!,faketrump
Everything is coming life back to Florida. Everyone is so thankful & excited. Lessons learned & people that we have hired so many talented engineers....,faketrump
I pray for the lost Amish!,faketrump
Will be on @REM_Governor @foxandfriends tomorrow. Happy to answer any questions you may have. Incredible crowd!,faketrump
"I was asked Gerald, to a large extent, if the Democrats, who, with the exception of the disabled, GG ALL IN on every horrible THING that Trump Does&:",faketrump
"Senator Warren was a love interest of Mine Stein, and now her love is well known! Thank you Warren!",faketrump
Mexican Americans are incredibly loyal &amazing people. Our Country is so proud of them. Truly inspirational. Don’t forget to leave a Letter for Santa!,faketrump
Pocahontas? Cantor lost to a Tea Party firebrand? Anybody!,faketrump
"Well, what can you do? Huma is a special person!",faketrump
"tomorrow we unleash the biggest COVID-20--CUISINE,WORKPLACE SAFETY,WORKRISE,STARTUP & LEADERSHIP PROGRAM IN USHCP HISTORY!",faketrump
....pardon my English but I dont see how we can agree to support the Northern Ireland Road Closed Pay Mart. Pick up dates are set and more to come!,faketrump
Thank you!,faketrump
Hello from the White House!,faketrump
#SB5758/the Jail Bans!3...legislation identical to the one that ended our Boom-and-bust Great American Economy. Voting YES is the best move!,faketrump
The L.G.B.T. community is in full meltdown right now because they hate the Holiday season. They hate everyone!,faketrump
Placed great stock and merchants on federal NICS systems. Turned aside owners of criminally and/or mentally ill gun owners!,faketrump
"Turning our military into the greatest fighting force in its history, and WE THE PEOPLE getting richer at the same time!",faketrump
"For the sake of our great great workers, soldiers, contractors, REPUBLICAN PARTY OFFICIALS, ACTION! Together, we will put America FIRST!!",faketrump
"Dear Citizens of Wisconsin, hope you are having a great rainy day!",faketrump
"When you see Governor Richardson campaigning for Gary this year, I suggest talking to him about Gary giving Gary a Purple Heart, a Gold Star Dad, or other honors. People said it couldn’t happen!",faketrump
Just had a very nice call with Prime Minister Tsipras and wife. She is doing brilliantly with China and France! #KILLTHEVIRUS!,faketrump
“This story should not be crossed.” @megynkelly Thank you!,faketrump
Thank you for all of your help. We have received it very well!,faketrump
"Thank you to @LuisMelleck of @LieschineMedia for both interviewing Foreign Leaders, but also through his own fearless and incredible journalism!",faketrump
Thank you Katie 🤔❤️❤️❤️❬✹❮❮ The ISIL supporter in court. He never seemed to get the message!,faketrump
Happy to confirm that David Petraeus is now a member of the @GOP. Thank you!,faketrump
Crazy Bernie has been a distraction! Don’t they respect him that he’s gone?,faketrump
Definitely went down well with the President. He has great respect for Veteran's Affairs. Heartfelt thank you!,faketrump
Made a buy 20 minutes ago. Thank you. Payed directly to my account!,faketrump
Thank you!,faketrump
Tomorrow's deadline for release of the H1N1 Swine Flu (†) situation report and recommendations is 6:00 P.M. Eastern (11:00 P.M. Central). Thank you!,faketrump
"🙎️Salt Lake City, UT! Will be soirée!",faketrump
"Thank you, Lisa!",faketrump
"Just landed from the aircraft was a 2 hour direct flight to Albany...Oh well, it will get better than this!",faketrump
A great ever.....,faketrump
https://twitter.com/realDonaldTrump/status/1047149670474615 93/10/13792621019513,faketrump
"Karl, it canÕt be that easy. ItÕs very different to be recorded off camera w/0 answers.... It is just absurd!",faketrump
"Why does Ted Cruz act like a spoiled brat?....That's a bunch of baloney, if you ask me, but I will :)",faketrump
"But remember, we do have the GREAT honor of waging a WAR ON THE PLANET EARTH, with the full backing of the President!",faketrump
